season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Saquon Barkley,00-0034844,PHI,WAS,rush_yards,78.5,0.5,0.5274741924141814,0.027474192414181364,,,,,
2026,1,Jayden Daniels,00-0039910,WAS,PHI,rush_yards,39.5,0.5,0.49580577477570187,-0.0041942252242981315,,,,,
2026,1,Jalen Hurts,00-0036389,PHI,WAS,rush_yards,29.5,0.5,0.4968304804781236,-0.003169519521876385,,,,,
2026,1,Dak Prescott,00-0033077,DAL,NYG,pass_yards,257.5,0.5,0.5786162555997441,0.07861625559974406,,,,,
2026,1,Jaxson Dart,00-0040691,NYG,DAL,pass_yards,215.5,0.5,0.5387917315689212,0.03879173156892124,,,,,
2026,1,CeeDee Lamb,00-0036358,DAL,NYG,rec_yards,74.5,0.5,0.6346650006282908,0.1346650006282908,,,,,
2026,1,George Pickens,00-0037247,DAL,NYG,rec_yards,66.5,0.5,0.7339301087694361,0.2339301087694361,,,,,
2026,1,Jake Ferguson,00-0038041,DAL,NYG,rec_yards,32.5,0.5,0.5202474726667347,0.020247472666734656,,,,,
2026,1,Cam Skattebo,00-0040715,NYG,DAL,rec_yards,19.5,0.5,0.6230166503841493,0.12301665038414933,,,,,
2026,1,Javonte Williams,00-0036997,DAL,NYG,rec_yards,10.5,0.5,0.47145694089987344,-0.028543059100126555,,,,,
2026,1,Javonte Williams,00-0036997,DAL,NYG,rush_yards,68.5,0.5,0.7663306081134615,0.26633060811346154,,,,,
2026,1,Cam Skattebo,00-0040715,NYG,DAL,rush_yards,57.5,0.5,0.4890812290442861,-0.010918770955713919,,,,,
2026,1,Jaxson Dart,00-0040691,NYG,DAL,rush_yards,30.5,0.5,0.5934125398738648,0.09341253987386477,,,,,
2026,1,Dak Prescott,00-0033077,DAL,NYG,rush_yards,6.5,0.5,0.6167652259826142,0.11676522598261418,,,,,
2026,1,Patrick Mahomes,00-0033873,KC,DEN,pass_yards,244.5,0.5,0.2837157345281186,-0.2162842654718814,,,,,
2026,1,Bo Nix,00-0039732,DEN,KC,pass_yards,226.5,0.5,0.4248480323182219,-0.07515196768177812,,,,,
2026,1,Courtland Sutton,00-0034348,DEN,KC,rec_yards,49.5,0.5,0.5337073919775965,0.033707391977596535,,,,,
2026,1,Travis Kelce,00-0030506,KC,DEN,rec_yards,43.5,0.5,0.6140146884037181,0.11401468840371809,,,,,
2026,1,Rashee Rice,00-0039067,KC,DEN,rec_yards,65.5,0.5,0.459332222119724,-0.04066777788027598,,,,,
2026,1,Jaxon Smith-Njigba,00-0038543,SEA,NE,anytime_td,0.5,0.5121951219512195,0.45118836390597344,-0.06100675804524608,,,,,
2026,1,Rhamondre Stevenson,00-0036875,NE,SEA,anytime_td,0.5,0.40816326530612246,0.4262465792625671,0.018083313956444635,,,,,
2026,1,TreVeyon Henderson,00-0040734,NE,SEA,anytime_td,0.5,0.37037037037037035,0.38802963972842686,0.017659269358056506,,,,,
2026,1,AJ Barner,00-0039793,SEA,NE,anytime_td,0.5,0.3076923076923077,0.3934693402873665,0.08577703259505881,,,,,
2026,1,Hunter Henry,00-0033090,NE,SEA,anytime_td,0.5,0.30303030303030304,0.31678957732505186,0.013759274294748824,,,,,
2026,1,Cooper Kupp,00-0033908,SEA,NE,anytime_td,0.5,0.28169014084507044,0.14606033437646485,-0.1356298064686056,,,,,
